year,wind_persist,ice_persist,sector
1979,2.1666666666666665,13.74074074074074,Amundsen_Bellingshausen
1980,1.5,2.7777777777777777,Amundsen_Bellingshausen
1981,2.076923076923077,5.5,Amundsen_Bellingshausen
1982,1.6,NA,Amundsen_Bellingshausen
1983,1.4444444444444444,7.5,Amundsen_Bellingshausen
1984,2.6470588235294117,11.095238095238095,Amundsen_Bellingshausen
1985,1.4,25.387096774193548,Amundsen_Bellingshausen
1986,1.1818181818181819,1.5,Amundsen_Bellingshausen
1987,2.2222222222222223,28,Amundsen_Bellingshausen
1988,2.3636363636363638,1,Amundsen_Bellingshausen
1989,3.5,8,Amundsen_Bellingshausen
1990,3.6206896551724137,5.470588235294118,Amundsen_Bellingshausen
1991,3.4444444444444446,3,Amundsen_Bellingshausen
1992,2,18.488372093023255,Amundsen_Bellingshausen
1993,2.5555555555555554,6,Amundsen_Bellingshausen
1994,1.9473684210526316,5.3,Amundsen_Bellingshausen
1995,3.5,23.82051282051282,Amundsen_Bellingshausen
1996,2.8947368421052633,NA,Amundsen_Bellingshausen
1997,2.8181818181818183,7.8,Amundsen_Bellingshausen
1998,2.3636363636363638,33,Amundsen_Bellingshausen
1999,2.3043478260869565,36.970588235294116,Amundsen_Bellingshausen
2000,1.5,10.44,Amundsen_Bellingshausen
2001,2.7,7.909090909090909,Amundsen_Bellingshausen
2002,2.8333333333333335,NA,Amundsen_Bellingshausen
2003,1.8333333333333333,24.736842105263158,Amundsen_Bellingshausen
2004,2.6,6,Amundsen_Bellingshausen
2005,2.6153846153846154,7.181818181818182,Amundsen_Bellingshausen
2006,3.25,64,Amundsen_Bellingshausen
2007,3.230769230769231,9,Amundsen_Bellingshausen
2008,3.2142857142857144,NA,Amundsen_Bellingshausen
2009,2.5714285714285716,9.466666666666667,Amundsen_Bellingshausen
2010,2.391304347826087,2,Amundsen_Bellingshausen
2011,3.6363636363636362,54.035714285714285,Amundsen_Bellingshausen
2012,2.619047619047619,NA,Amundsen_Bellingshausen
2013,2.8823529411764706,53.03636363636364,Amundsen_Bellingshausen
2014,2.142857142857143,16.93548387096774,Amundsen_Bellingshausen
2015,4.209302325581396,7.222222222222222,Amundsen_Bellingshausen
2016,3,2,Amundsen_Bellingshausen
2017,3,18.15,Amundsen_Bellingshausen
2018,3.2,7.533333333333333,Amundsen_Bellingshausen
2019,3.4166666666666665,2,Amundsen_Bellingshausen
2020,3.7,7.888888888888889,Amundsen_Bellingshausen
2021,3.0833333333333335,NA,Amundsen_Bellingshausen
2022,1.9473684210526316,NA,Amundsen_Bellingshausen
2023,2.1578947368421053,18.05263157894737,Amundsen_Bellingshausen
2024,2.25,NA,Amundsen_Bellingshausen
1979,2.272727272727273,3.125,East_Antarctica
1980,1.6666666666666667,7.133333333333334,East_Antarctica
1981,1.588235294117647,11.093023255813954,East_Antarctica
1982,1.2857142857142858,5.75,East_Antarctica
1983,1.8571428571428572,2.111111111111111,East_Antarctica
1984,2.4,7.7368421052631575,East_Antarctica
1985,1.2857142857142858,3,East_Antarctica
1986,1.2222222222222223,14.238095238095237,East_Antarctica
1987,1.8571428571428572,13.736842105263158,East_Antarctica
1988,1.8695652173913044,4.125,East_Antarctica
1989,2.272727272727273,63.11940298507463,East_Antarctica
1990,1.75,3,East_Antarctica
1991,3,25.65,East_Antarctica
1992,2.142857142857143,11.324324324324325,East_Antarctica
1993,2.5,3.1666666666666665,East_Antarctica
1994,2.176470588235294,10.3,East_Antarctica
1995,2.3076923076923075,8.25925925925926,East_Antarctica
1996,2.2222222222222223,NA,East_Antarctica
1997,2,7.421052631578948,East_Antarctica
1998,1.4705882352941178,4.833333333333333,East_Antarctica
1999,2.1818181818181817,7.7272727272727275,East_Antarctica
2000,2.4074074074074074,15.350877192982455,East_Antarctica
2001,1.8421052631578947,9.758620689655173,East_Antarctica
2002,1.8333333333333333,16.4375,East_Antarctica
2003,1.9375,7,East_Antarctica
2004,2.0526315789473686,2.6,East_Antarctica
2005,1.9565217391304348,6.36,East_Antarctica
2006,2.8285714285714287,27.894736842105264,East_Antarctica
2007,2.9,10.875,East_Antarctica
2008,1.7272727272727273,9,East_Antarctica
2009,2.2,6.166666666666667,East_Antarctica
2010,1.8888888888888888,2.4,East_Antarctica
2011,1.6666666666666667,33.27272727272727,East_Antarctica
2012,2,5.8,East_Antarctica
2013,1.7407407407407407,4.142857142857143,East_Antarctica
2014,2.125,NA,East_Antarctica
2015,1.8,16.785714285714285,East_Antarctica
2016,1.5555555555555556,5,East_Antarctica
2017,2.2666666666666666,6.62962962962963,East_Antarctica
2018,1.7826086956521738,NA,East_Antarctica
2019,2.6,6.266666666666667,East_Antarctica
2020,2.4285714285714284,1.8,East_Antarctica
2021,2.0714285714285716,10.2,East_Antarctica
2022,1.5714285714285714,1,East_Antarctica
2023,2.263157894736842,9.941176470588236,East_Antarctica
2024,2.375,NA,East_Antarctica
1979,1.6666666666666667,25.235294117647058,King_Haakon
1980,3.4615384615384617,25.697674418604652,King_Haakon
1981,2.1666666666666665,5.285714285714286,King_Haakon
1982,1.8333333333333333,10.478260869565217,King_Haakon
1983,2,2.111111111111111,King_Haakon
1984,1.2857142857142858,NA,King_Haakon
1985,1,6.733333333333333,King_Haakon
1986,1,10.826086956521738,King_Haakon
1987,1.6,1,King_Haakon
1988,2.5555555555555554,14.066666666666666,King_Haakon
1989,2.8,8.833333333333334,King_Haakon
1990,2.7777777777777777,NA,King_Haakon
1991,3.9411764705882355,6.538461538461538,King_Haakon
1992,4.103448275862069,20.5,King_Haakon
