year,subseason,ice_persist,sector
1979,early,15,Amundsen_Bellingshausen
1979,late,NA,Amundsen_Bellingshausen
1979,mid,7.166666666666667,Amundsen_Bellingshausen
1980,early,2,Amundsen_Bellingshausen
1980,late,3.4,Amundsen_Bellingshausen
1980,mid,2,Amundsen_Bellingshausen
1981,early,5.285714285714286,Amundsen_Bellingshausen
1981,late,3.4,Amundsen_Bellingshausen
1981,mid,2.5,Amundsen_Bellingshausen
1982,early,NA,Amundsen_Bellingshausen
1982,late,NA,Amundsen_Bellingshausen
1982,mid,NA,Amundsen_Bellingshausen
1983,early,8.666666666666666,Amundsen_Bellingshausen
1983,late,5,Amundsen_Bellingshausen
1983,mid,3,Amundsen_Bellingshausen
1984,early,1,Amundsen_Bellingshausen
1984,late,6,Amundsen_Bellingshausen
1984,mid,13,Amundsen_Bellingshausen
1985,early,15,Amundsen_Bellingshausen
1985,late,1,Amundsen_Bellingshausen
1985,mid,12.142857142857142,Amundsen_Bellingshausen
1986,early,1,Amundsen_Bellingshausen
1986,late,2,Amundsen_Bellingshausen
1986,mid,1,Amundsen_Bellingshausen
1987,early,15,Amundsen_Bellingshausen
1987,late,NA,Amundsen_Bellingshausen
1987,mid,13,Amundsen_Bellingshausen
1988,early,NA,Amundsen_Bellingshausen
1988,late,1,Amundsen_Bellingshausen
1988,mid,1,Amundsen_Bellingshausen
1989,early,8,Amundsen_Bellingshausen
1989,late,NA,Amundsen_Bellingshausen
1989,mid,NA,Amundsen_Bellingshausen
1990,early,6,Amundsen_Bellingshausen
1990,late,2,Amundsen_Bellingshausen
1990,mid,3.2222222222222223,Amundsen_Bellingshausen
1991,early,1,Amundsen_Bellingshausen
1991,late,3.5714285714285716,Amundsen_Bellingshausen
1991,mid,1,Amundsen_Bellingshausen
1992,early,2.3333333333333335,Amundsen_Bellingshausen
1992,late,8.384615384615385,Amundsen_Bellingshausen
1992,mid,24,Amundsen_Bellingshausen
1993,early,NA,Amundsen_Bellingshausen
1993,late,NA,Amundsen_Bellingshausen
1993,mid,6,Amundsen_Bellingshausen
1994,early,4,Amundsen_Bellingshausen
1994,late,5,Amundsen_Bellingshausen
1994,mid,5.909090909090909,Amundsen_Bellingshausen
1995,early,30,Amundsen_Bellingshausen
1995,late,3,Amundsen_Bellingshausen
1995,mid,3.3333333333333335,Amundsen_Bellingshausen
1996,early,NA,Amundsen_Bellingshausen
