year,wind_persist,ice_persist,sector,phase_doy,amplitude,phase_anom,amplitude_anom
1979,2.1666666666666665,13.74074074074074,Amundsen_Bellingshausen,244,2.7167579737984227,-2.108695652173907,-0.07157947551133281
1980,1.5,2.7777777777777777,Amundsen_Bellingshausen,245,3.701141026522424,-1.1086956521739069,0.9128035772126686
1981,2.076923076923077,5.5,Amundsen_Bellingshausen,244,3.2121837107793327,-2.108695652173907,0.42384626146957727
1982,1.6,NA,Amundsen_Bellingshausen,244,2.7414303829616573,-2.108695652173907,-0.04690706634809816
1983,1.4444444444444444,7.5,Amundsen_Bellingshausen,244,2.5622586676481034,-2.108695652173907,-0.22607878166165207
1984,2.6470588235294117,11.095238095238095,Amundsen_Bellingshausen,245,2.9764447443925013,-1.1086956521739069,0.18810729508274582
1985,1.4,25.387096774193548,Amundsen_Bellingshausen,244,2.7760788229137305,-2.108695652173907,-0.01225862639602493
1986,1.1818181818181819,1.5,Amundsen_Bellingshausen,244,3.0369980214660313,-2.108695652173907,0.2486605721562758
1987,2.2222222222222223,28,Amundsen_Bellingshausen,225,3.6830148442225568,-21.108695652173907,0.8946773949128013
1988,2.3636363636363638,1,Amundsen_Bellingshausen,249,3.3762142937756354,2.891304347826093,0.58787684446588
1989,3.5,8,Amundsen_Bellingshausen,244,2.504264719624304,-2.108695652173907,-0.2840727296854513
1990,3.6206896551724137,5.470588235294118,Amundsen_Bellingshausen,244,2.59244771223822,-2.108695652173907,-0.19588973707153556
1991,3.4444444444444446,3,Amundsen_Bellingshausen,244,3.0509315143241764,-2.108695652173907,0.26259406501442095
1992,2,18.488372093023255,Amundsen_Bellingshausen,245,3.239450418098258,-1.1086956521739069,0.4511129687885025
1993,2.5555555555555554,6,Amundsen_Bellingshausen,244,2.837067181265624,-2.108695652173907,0.048729731955868605
1994,1.9473684210526316,5.3,Amundsen_Bellingshausen,244,2.8562141815159134,-2.108695652173907,0.06787673220615797
1995,3.5,23.82051282051282,Amundsen_Bellingshausen,244,2.863858150843481,-2.108695652173907,0.07552070153372537
1996,2.8947368421052633,NA,Amundsen_Bellingshausen,245,2.942350831359972,-1.1086956521739069,0.15401338205021675
1997,2.8181818181818183,7.8,Amundsen_Bellingshausen,244,3.1965928647643977,-2.108695652173907,0.4082554154546423
1998,2.3636363636363638,33,Amundsen_Bellingshausen,244,3.11581061477744,-2.108695652173907,0.32747316546768435
1999,2.3043478260869565,36.970588235294116,Amundsen_Bellingshausen,244,3.098896525030999,-2.108695652173907,0.3105590757212435
2000,1.5,10.44,Amundsen_Bellingshausen,245,2.9606672208080784,-1.1086956521739069,0.17232977149832296
2001,2.7,7.909090909090909,Amundsen_Bellingshausen,244,2.999643429246345,-2.108695652173907,0.2113059799365895
2002,2.8333333333333335,NA,Amundsen_Bellingshausen,244,2.6703392716370873,-2.108695652173907,-0.11799817767266818
2003,1.8333333333333333,24.736842105263158,Amundsen_Bellingshausen,244,2.102878633919058,-2.108695652173907,-0.6854588153906973
2004,2.6,6,Amundsen_Bellingshausen,245,2.2582090685360687,-1.1086956521739069,-0.5301283807736867
2005,2.6153846153846154,7.181818181818182,Amundsen_Bellingshausen,244,2.9608793596927407,-2.108695652173907,0.17254191038298528
2006,3.25,64,Amundsen_Bellingshausen,244,3.332194136565369,-2.108695652173907,0.5438566872556136
2007,3.230769230769231,9,Amundsen_Bellingshausen,244,2.897770266576097,-2.108695652173907,0.10943281726634169
2008,3.2142857142857144,NA,Amundsen_Bellingshausen,245,2.374682552303127,-1.1086956521739069,-0.4136548970066283
