term,estimate,std.error,statistic,p.value,sector,n,r2,adj_r2
(Intercept),-0.01775087649871839,0.002875231391969076,-6.173721025827373,6.839269416011451e-10,Amundsen_Bellingshausen,15233,0.00539798942401439,0.005267378523085231
wind,-6.073772108042304e-6,7.13838733013143e-7,-8.508605413444936,1.9225414947627996e-17,Amundsen_Bellingshausen,15233,0.00539798942401439,0.005267378523085231
SIE_lag,-0.0018629105206171119,4.230778944272092e-4,-4.403232939265814,1.073761558997513e-5,Amundsen_Bellingshausen,15233,0.00539798942401439,0.005267378523085231
(Intercept),-0.11570946316180243,0.004559183825224641,-25.37942482635062,3.2717788746754175e-139,Ross,15233,0.04479623740784657,0.04467080027552983
wind,0.005533941471563774,2.0794022878085544e-4,26.61313543804887,1.4406693539033467e-152,Ross,15233,0.04479623740784657,0.04467080027552983
SIE_lag,-0.0024819381406853444,3.140468136705115e-4,-7.903083338681218,2.9062024036407206e-15,Ross,15233,0.04479623740784657,0.04467080027552983
(Intercept),0.002012301009152417,0.0012630865107875241,1.593161665464833,0.11114468047225445,Weddell,15233,0.0011543349013956846,0.0010231667247577736
wind,-1.4234333371776952e-5,1.8933485640975302e-4,-0.07518073344599274,0.9400719008723366,Weddell,15233,0.0011543349013956846,0.0010231667247577736
SIE_lag,-0.0023421559080056536,5.710106418807271e-4,-4.101772780085741,4.1212778066563236e-5,Weddell,15233,0.0011543349013956846,0.0010231667247577736
(Intercept),-0.06390090545093177,0.0025268713054429183,-25.288547664967453,2.990266661634686e-138,East_Antarctica,15233,0.04758693280338397,0.04746186214452697
wind,0.00413543891626365,1.5074951142524283e-4,27.432519529686353,9.330707605558215e-162,East_Antarctica,15233,0.04758693280338397,0.04746186214452697
SIE_lag,-0.004647809541124633,3.870041436804113e-4,-12.009715185279262,4.4566413739489375e-33,East_Antarctica,15233,0.04758693280338397,0.04746186214452697
(Intercept),-0.12052472395137659,0.0036407591935703363,-33.104283349534896,3.966859669397027e-232,King_Haakon,15233,0.07899640858745817,0.07887546261353673
wind,-6.24413342767697e-5,1.7327549491356876e-6,-36.03587126264793,5.726948929515084e-273,King_Haakon,15233,0.07899640858745817,0.07887546261353673
SIE_lag,-0.003364982708615525,3.4093624574422235e-4,-9.86982977204485,6.590825973031637e-23,King_Haakon,15233,0.07899640858745817,0.07887546261353673
(Intercept),-0.7758172353645519,0.015479791442772867,-50.118067690554184,0,circumpolar,15233,0.15108790946868367,0.1509764305336172
wind,-4.8460319460887255e-5,9.317879335429947e-7,-52.007884751870094,0,circumpolar,15233,0.15108790946868367,0.1509764305336172
SIE_lag,-0.005742327501445296,2.8671628347565176e-4,-20.027908536743222,4.27218121684482e-88,circumpolar,15233,0.15108790946868367,0.1509764305336172
