lag,cor,sector
0,-0.09189322865149244,Amundsen_Bellingshausen
1,-0.1232280670991226,Amundsen_Bellingshausen
2,-0.11141806842036668,Amundsen_Bellingshausen
3,-0.09213821401317983,Amundsen_Bellingshausen
4,-0.06703246766246986,Amundsen_Bellingshausen
5,-0.051646079440224354,Amundsen_Bellingshausen
6,-0.04536067854568535,Amundsen_Bellingshausen
7,-0.050469698913191405,Amundsen_Bellingshausen
8,-0.05207198351191706,Amundsen_Bellingshausen
9,-0.04691798387655712,Amundsen_Bellingshausen
10,-0.03731088306055886,Amundsen_Bellingshausen
11,-0.03572062741209255,Amundsen_Bellingshausen
12,-0.03154190256698308,Amundsen_Bellingshausen
13,-0.024394424735977045,Amundsen_Bellingshausen
14,-0.011953125346315032,Amundsen_Bellingshausen
0,0.001685014510653825,Ross
1,0.07116644859132273,Ross
2,0.06328296506643724,Ross
3,0.053267702867648654,Ross
4,0.040909071434440614,Ross
5,0.021838904143917093,Ross
6,0.02052663924388173,Ross
7,0.0034657785830024775,Ross
8,-0.027743620094065755,Ross
9,-0.029251812370698172,Ross
10,-0.026266173057046968,Ross
11,-0.020347734876099498,Ross
12,-0.009685883995187178,Ross
13,-0.009535068981170814,Ross
14,-0.015617875036922746,Ross
0,0.1059588225527011,Weddell
1,0.13483943203743706,Weddell
2,0.11129704376795783,Weddell
3,0.07179991379744348,Weddell
4,0.03748992528877872,Weddell
5,0.019723738763033558,Weddell
6,0.0015215460091588307,Weddell
7,-0.013123316913935434,Weddell
8,-0.017490396445034494,Weddell
9,-0.008339055225748784,Weddell
10,0.011414407764031942,Weddell
11,0.0247083653652078,Weddell
12,0.03373013166810984,Weddell
13,0.05215829429012581,Weddell
14,0.06312791736157128,Weddell
0,-0.012553736585876371,East_Antarctica
1,0.017355315896488657,East_Antarctica
2,0.041342823800103456,East_Antarctica
3,0.02352771448291126,East_Antarctica
4,-0.0016542797704768217,East_Antarctica
5,-0.009635288899045972,East_Antarctica
6,-0.020919738012575358,East_Antarctica
7,-0.02982479854891049,East_Antarctica
8,-0.027131590431374045,East_Antarctica
9,-0.029505890530575864,East_Antarctica
10,-0.021409701763203046,East_Antarctica
11,-0.019496916038041375,East_Antarctica
12,4.5999453023371157e-4,East_Antarctica
13,0.01131064603661987,East_Antarctica
14,0.0070268175794726915,East_Antarctica
0,-0.029001394700039717,King_Haakon
1,-0.01644017966098401,King_Haakon
2,-0.024672411586522836,King_Haakon
3,-0.015777470264283774,King_Haakon
4,-0.0026031574745026963,King_Haakon
5,-0.002487738717787859,King_Haakon
6,-0.002087543070977004,King_Haakon
7,-0.0012262712818783925,King_Haakon
8,0.013471208819570943,King_Haakon
9,0.022277736864373242,King_Haakon
10,0.027048365940651003,King_Haakon
11,0.028269180230947672,King_Haakon
12,0.026615664558714856,King_Haakon
13,0.00805258849274335,King_Haakon
14,-0.007550917662396204,King_Haakon
0,0.04652722499731021,circumpolar
1,0.011490910510199698,circumpolar
2,-0.004926201029839257,circumpolar
3,-0.016891421722386002,circumpolar
4,-0.016948799131694014,circumpolar
5,-0.025307548810912968,circumpolar
6,-0.023355227696286437,circumpolar
7,-0.011983256641172387,circumpolar
8,0.006850467292634045,circumpolar
9,0.004559332290271559,circumpolar
10,-0.0026615775356294454,circumpolar
11,-0.006690227962151575,circumpolar
12,-0.007675478659839558,circumpolar
13,-0.010472321402949885,circumpolar
14,-0.0019584692709728835,circumpolar
