"sector","Year","max_doy_fitted","min_doy_fitted","max_doy_anom","min_doy_anom","amplitude_fitted","amplitude_anom","max_doy_raw","min_doy_raw","max_doy_raw_anom","min_doy_raw_anom","amplitude_raw_yr","amplitude_raw_anom","min_extent","max_extent","min_date","max_date"
"SIE_Weddell",1980,237,365,-5,305,0.277809464852634,0.111808046964111,223,55,-21.5,-6,0.930615331,-0.313427412272727,0.519133684,1.449749015,1980-02-24,1980-08-10
"SIE_Weddell",1981,289,87,47,27,0.180218604635376,0.0142171867468528,275,91,30.5,30,1.060411383,-0.183631360272727,0.435413474,1.495824857,1981-04-01,1981-10-02
"SIE_Weddell",1982,234,56,-8,-4,0.22179334812831,0.0557919302397872,248,58,3.5,-3,1.012699917,-0.231342826272727,0.446930114,1.459630031,1982-02-27,1982-09-05
"SIE_Weddell",1983,295,99,53,39,0.360348774440745,0.194347356552222,277,119,32.5,58,0.838832364,-0.405210379272727,0.486748253,1.325580617,1983-04-29,1983-10-04
"SIE_Weddell",1984,238,74,-4,14,0.130212803490024,-0.0357886143984985,286,76,41.5,15,1.113710459,-0.130332284272727,0.369267996,1.482978455,1984-03-16,1984-10-12
"SIE_Weddell",1985,262,76,20,16,0.165663757978707,-0.000337659909815907,254,80,9.5,19,1.063638707,-0.180404036272727,0.404426431,1.468065138,1985-03-21,1985-09-11
"SIE_Weddell",1986,239,61,-3,1,0.0311339481190371,-0.134867469769486,257,65,12.5,4,1.297603585,0.0535608417272728,0.439941849,1.737545434,1986-03-06,1986-09-14
"SIE_Weddell",1987,256,72,14,12,0.225783642787408,0.0597822248988853,202,74,-42.5,13,0.992636549,-0.251406194272727,0.463864943,1.456501492,1987-03-15,1987-07-21
"SIE_Weddell",1988,236,53,-6,-7,0.364773603943112,0.19877218605459,240,54,-4.5,-7,0.827936841,-0.416105902272727,0.376104159,1.204041,1988-02-23,1988-08-27
"SIE_Weddell",1989,240,54,-2,-6,0.184569991403245,0.0185685735147224,251,56,6.5,-5,1.042695705,-0.201347038272727,0.220343151,1.263038856,1989-02-25,1989-09-08
"SIE_Weddell",1990,242,55,0,-5,0.146409351762303,-0.0195920661262202,241,59,-3.5,-2,1.418338775,0.174296031727273,0.244061618,1.662400393,1990-02-28,1990-08-29
"SIE_Weddell",1991,240,57,-2,-3,0.262443646299565,0.0964422284110422,230,58,-14.5,-3,1.561416855,0.317374111727273,0.032452627,1.593869482,1991-02-27,1991-08-18
"SIE_Weddell",1992,242,61,0,1,0.176435834495932,0.0104344166074096,279,62,34.5,1,1.075532076,-0.168510667272727,0.189034007,1.264566083,1992-03-02,1992-10-05
"SIE_Weddell",1993,245,63,3,3,0.112744198799318,-0.0532572190892051,239,67,-5.5,6,1.1789654,-0.0650773432727272,0.250573097,1.429538497,1993-03-08,1993-08-27
"SIE_Weddell",1994,264,93,22,33,0.0628250384894168,-0.103176379399106,275,101,30.5,40,1.355001423,0.110958679727273,0.321082958,1.676084381,1994-04-11,1994-10-02
"SIE_Weddell",1995,230,54,-12,-6,0.170696127267338,0.00469470937881564,214,55,-30.5,-6,1.451461435,0.207418691727273,0.178530992,1.629992427,1995-02-24,1995-08-02
"SIE_Weddell",1996,232,43,-10,-17,0.057145114503518,-0.108856303385005,237,39,-7.5,-22,1.204878029,-0.0391647142727272,0.312837721,1.51771575,1996-02-08,1996-08-24
"SIE_Weddell",1997,244,57,2,-3,0.167326896880023,0.0013254789915004,244,58,-0.5,-3,1.50814166,0.264098916727273,0.150368085,1.658509745,1997-02-27,1997-09-01
"SIE_Weddell",1998,239,54,-3,-6,0.103725460875725,-0.0622759570127983,257,55,12.5,-6,1.162797149,-0.081245594272727,0.226133676,1.388930825,1998-02-24,1998-09-14
"SIE_Weddell",1999,243,60,1,0,0.0678704341777259,-0.0981309837107969,251,63,6.5,2,1.332638422,0.0885956787272728,0.151983442,1.484621864,1999-03-04,1999-09-08
"SIE_Weddell",2000,262,76,20,16,0.037417959473953,-0.12858345841457,264,81,19.5,20,1.283579499,0.0395367557272728,0.209273665,1.492853164,2000-03-21,2000-09-20
"SIE_Weddell",2001,239,60,-3,0,0.0547437472405962,-0.111257670647927,245,61,0.5,0,1.20352722,-0.0405155232727272,0.26292252,1.46644974,2001-03-02,2001-09-02
"SIE_Weddell",2002,236,50,-6,-10,0.0299315460807735,-0.136069871807749,236,52,-8.5,-9,1.307759194,0.0637164507272727,0.243174357,1.550933551,2002-02-21,2002-08-24
"SIE_Weddell",2003,249,58,7,-2,0.0541311185876892,-0.111870299300834,281,60,36.5,-1,1.339008813,0.0949660697272727,0.189788467,1.52879728,2003-03-01,2003-10-08
"SIE_Weddell",2004,245,58,3,-2,0.205146106630512,0.0391446887419893,269,59,24.5,-2,1.536140003,0.292097259727273,0.197285549,1.733425552,2004-02-28,2004-09-25
"SIE_Weddell",2005,234,365,-8,305,0.215151920324431,0.0491505024359082,230,45,-14.5,-16,1.036789278,-0.207253465272727,0.433191094,1.469980372,2005-02-14,2005-08-18
"SIE_Weddell",2006,245,58,3,-2,0.235900774789158,0.069899356900635,263,59,18.5,-2,0.998539218,-0.245503525272727,0.344662705,1.343201923,2006-02-28,2006-09-20
"SIE_Weddell",2007,235,46,-7,-14,0.161009393484053,-0.0049920244044698,248,47,3.5,-14,1.049953109,-0.194089634272727,0.240599037,1.290552146,2007-02-16,2007-09-05
"SIE_Weddell",2008,254,63,12,3,0.167689570995004,0.00168815310648088,239,66,-5.5,5,1.422951654,0.178908910727273,0.076544647,1.499496301,2008-03-06,2008-08-26
"SIE_Weddell",2009,252,64,10,4,0.14745013025094,-0.018551287637583,303,69,58.5,8,1.439526838,0.195484094727273,0.119652375,1.559179213,2009-03-10,2009-10-30
"SIE_Weddell",2010,243,61,1,1,0.226300781403041,0.0602993635145177,248,62,3.5,1,1.564221818,0.320179074727273,0.011406096,1.575627914,2010-03-03,2010-09-05
"SIE_Weddell",2011,236,53,-6,-7,0.0691955035498394,-0.0968059143386834,205,54,-39.5,-7,1.350420646,0.106377902727273,0.264713283,1.615133929,2011-02-23,2011-07-24
"SIE_Weddell",2012,238,53,-4,-7,0.109709412266716,-0.0562920056218067,236,119,-8.5,58,1.120496564,-0.123546179272727,0.304823732,1.425320296,2012-04-28,2012-08-23
"SIE_Weddell",2013,253,81,11,21,0.219043223135768,0.0530418052472455,232,85,-12.5,24,1.530790155,0.286747411727273,0.036893772,1.567683927,2013-03-26,2013-08-20
"SIE_Weddell",2014,236,55,-6,-5,0.200563619061418,0.0345622011728947,231,56,-13.5,-5,1.536455049,0.292412305727273,0.132703551,1.6691586,2014-02-25,2014-08-19
"SIE_Weddell",2015,249,58,7,-2,0.312419005988928,0.146417588100406,261,60,16.5,-1,1.683390688,0.439347944727273,0.193908837,1.877299525,2015-03-01,2015-09-18
"SIE_Weddell",2016,253,71,11,11,0.298115232019789,0.132113814131266,222,69,-22.5,8,0.919851422,-0.324191321272727,0.331192762,1.251044184,2016-03-09,2016-08-09
"SIE_Weddell",2017,266,79,24,19,0.146123833749231,-0.0198775841392918,291,84,46.5,23,1.441785571,0.197742827727273,0.189527618,1.631313189,2017-03-25,2017-10-18
