time,Sea Ice Extent (million km²)
2012-07-13,29627971.57
2012-07-14,29665555.31
2012-07-15,29770279.19
2012-07-16,29880019.87
2012-07-17,29942563.7
2012-07-18,30047508.07
2012-07-19,30132145.56
2012-07-20,30243115.35
2012-07-21,30349004.54
2012-07-22,30407835.26
2012-07-23,30329954.0
2012-07-24,30414735.19
2012-07-25,30458333.77
2012-07-26,30593712.25
2012-07-27,30634441.71
2012-07-28,30713887.16
2012-07-29,30811903.92
2012-07-30,30788449.92
2012-07-31,30808547.58
2012-08-01,30903326.17
2012-08-02,31008567.23
2012-08-03,31084349.43
2012-08-04,31262030.31
2012-08-05,31338471.49
2012-08-06,31296976.81
2012-08-07,31315252.73
2012-08-08,31347229.25
2012-08-09,31389445.25
2012-08-10,31541374.99
2012-08-11,31612893.3
2012-08-12,31711703.97
2012-08-13,31856813.51
2012-08-14,31983457.5
2012-08-15,31998873.32
2012-08-16,31995850.75
2012-08-17,32014084.25
2012-08-18,32056890.33
2012-08-19,32140347.86
2012-08-20,32219196.97
2012-08-21,32291154.41
2012-08-22,32322493.51
2012-08-23,32323329.16
2012-08-24,32329414.12
2012-08-25,32342811.82
2012-08-26,32270898.52
2012-08-27,32295192.27
2012-08-28,32304001.68
2012-08-29,32386601.35
2012-08-30,32424796.7
2012-08-31,32428458.17
2012-09-01,32514175.38
2012-09-02,32556095.09
2012-09-03,32564492.16
2012-09-04,32549735.95
2012-09-05,32682235.89
2012-09-06,32759946.68
2012-09-07,32824066.97
2012-09-08,32896025.62
2012-09-09,32879519.44
2012-09-10,32909531.23
2012-09-11,32965154.31
2012-09-12,32982801.62
2012-09-13,33060027.23
2012-09-14,33087280.45
2012-09-15,33137076.26
2012-09-16,33194066.8
2012-09-17,33233215.13
2012-09-18,33358422.26
2012-09-19,33512232.32
2012-09-20,33583173.88
2012-09-21,33613169.92
2012-09-22,33609963.05
2012-09-23,33651519.4
2012-09-24,33666758.14
2012-09-25,33684631.64
2012-09-26,33567417.01
2012-09-27,33517085.11
2012-09-28,33518055.96
2012-09-29,33584634.17
2012-09-30,33607242.47
2012-10-01,33633050.39
2012-10-02,33746449.92
2012-10-03,33724757.42
2012-10-04,33695849.12
2012-10-05,33734009.16
2012-10-06,33705272.24
2012-10-07,33646777.03
2012-10-08,33568363.82
2012-10-09,33535525.37
2012-10-10,33453738.88
2012-10-11,33451260.06
2012-10-12,33444327.72
2012-10-13,33441320.39
2012-10-14,33419104.32
2012-10-15,33377352.77
2012-10-16,33402641.83
2012-10-17,33323568.6
2012-10-18,33275924.96
2012-10-19,33217815.81
2012-10-20,33139160.29
2012-10-21,33107885.79
2012-10-22,33052014.19
2012-10-23,32976434.74
2012-10-24,32923689.94
2012-10-25,32919167.08
2012-10-26,32921391.78
2012-10-27,32841330.52
2012-10-28,32824151.5
2012-10-29,32788706.87
2012-10-30,32810718.51
2012-10-31,32783049.6
2012-11-01,32764200.7
2012-11-02,32655570.7
2012-11-03,32546145.04
2012-11-04,32472653.09
2012-11-05,32407361.09
2012-11-06,32369349.29
2012-11-07,32206661.27
2012-11-08,32221418.19
2012-11-09,32195341.81
2012-11-10,32079962.98
2012-11-11,32029468.69
2012-11-12,31962673.25
2012-11-13,31895379.81
2012-11-14,31801400.81
2012-11-15,31732810.39
2012-11-16,31627323.74
2012-11-17,31507961.97
2012-11-18,31394408.36
2012-11-19,31347667.62
2012-11-20,31211300.07
2012-11-21,31066309.44
2012-11-22,31025794.53
2012-11-23,30951816.64
2012-11-24,30799629.14
2012-11-25,30659702.3
2012-11-26,30567362.4
2012-11-27,30464935.91
2012-11-28,30299050.07
2012-11-29,30162100.11
2012-11-30,29963075.09
2012-12-01,29844364.23
2012-12-02,29625850.52
2012-12-03,29441875.44
2012-12-04,29290600.1
2012-12-05,29181417.88
2012-12-06,28962797.3
2012-12-07,28650743.77
2012-12-08,28501083.34
2012-12-09,28335742.12
2012-12-10,28145111.12
2012-12-11,27926414.5
2012-12-12,27776754.73
2012-12-13,27639803.24
2012-12-14,27333012.59
2012-12-15,27206007.91
2012-12-16,27088018.04
2012-12-17,26837129.13
2012-12-18,26666643.44
2012-12-19,26477154.06
2012-12-20,26245043.21
2012-12-21,26083011.02
2012-12-22,25871686.94
2012-12-23,25600575.51
2012-12-24,25350450.75
2012-12-25,25093396.45
2012-12-26,24928428.42
2012-12-27,24610129.22
2012-12-28,24358044.25
2012-12-29,24085053.44
2012-12-30,23870013.94
2012-12-31,23725026.98
2013-01-01,23506789.95
2013-01-02,23250391.8
2013-01-03,22986314.16
2013-01-04,22746606.13
2013-01-05,22466070.78
2013-01-06,22329942.89
2013-01-07,22145873.92
2013-01-08,21933509.58
2013-01-09,21699254.24
2013-01-10,21554185.68
2013-01-11,21438008.22
2013-01-12,21206580.46
2013-01-13,21151598.82
2013-01-14,21051915.09
2013-01-15,20913321.07
2013-01-16,20842246.45
2013-01-17,20725744.83
2013-01-18,20637088.68
2013-01-19,20461062.14
2013-01-20,20413742.13
2013-01-21,20285663.8
